name,nameLocal,countryCode,countryName,ideology,politicalPosition,foundedYear,currentLeader,headquarters,website,logoUrl,description,membershipCount,isRulingParty,isParliamentary,isRegional,regionState
Komeito,,JP,Japan,Centrist,Centre,1964,Natsuo Yamaguchi,Tokyo,https://komei.or.jp,,"Centre political party in Japan, advocating for centrist policies, social welfare, and peace.",,,true,,
Bharatiya Janata Party,,IN,India,Conservative,Right,1980,Narendra Modi,New Delhi,https://bjp.org,,"Right-wing political party in India, advocating for Hindu nationalism, economic liberalization, and cultural conservatism.",,true,true,,
Indian National Congress,,IN,India,Social Democratic,Centre-left,1885,Mallikarjun Kharge,New Delhi,https://inc.in,,"Centre-left political party in India, advocating for secularism, social justice, and inclusive development.",,,true,,
Aam Aadmi Party,,IN,India,Social Democratic,Centre-left,2012,Arvind Kejriwal,New Delhi,https://aamaadmiparty.org,,"Centre-left political party in India, advocating for anti-corruption, good governance, and social welfare.",,,true,true,Delhi
Workers' Party,,BR,Brazil,Social Democratic,Centre-left,1980,Gleisi Hoffmann,São Paulo,https://pt.org.br,,"Centre-left political party in Brazil, advocating for social democracy, workers' rights, and social justice.",,true,true,,
Liberal Party,,BR,Brazil,Conservative,Right,2006,Valdemar Costa Neto,Brasília,https://pl.org.br,,"Right-wing political party in Brazil, advocating for conservatism, free markets, and traditional values.",,,true,,
Brazilian Social Democracy Party,,BR,Brazil,Social Democratic,Centre,1988,Bruno Araújo,Brasília,https://psdb.org.br,,"Centre political party in Brazil, advocating for social democracy, economic stability, and social welfare.",,,true,,
African National Congress,,ZA,South Africa,Social Democratic,Centre-left,1912,Cyril Ramaphosa,Johannesburg,https://anc.org.za,,"Centre-left political party in South Africa, advocating for social democracy, racial equality, and economic transformation.",,true,true,,
Democratic Alliance,,ZA,South Africa,Liberal,Centre-right,2000,John Steenhuisen,Cape Town,https://da.org.za,,"Centre-right political party in South Africa, advocating for liberalism, free markets, and good governance.",,,true,,
Economic Freedom Fighters,,ZA,South Africa,Socialist,Left,2013,Julius Malema,Johannesburg,https://effonline.org,,"Left-wing political party in South Africa, advocating for socialism, economic freedom, and radical transformation.",,,true,,
All Progressives Congress,,NG,Nigeria,Conservative,Centre-right,2013,Bola Tinubu,Abuja,https://apc.com.ng,,"Centre-right political party in Nigeria, advocating for conservatism, economic reform, and national unity.",,true,true,,
People's Democratic Party,,NG,Nigeria,Social Democratic,Centre-left,1998,Atiku Abubakar,Abuja,https://pdp.org.ng,,"Centre-left political party in Nigeria, advocating for social democracy, good governance, and national development.",,,true,,
National Action Party,,MX,Mexico,Conservative,Centre-right,1939,Marko Cortés,Mexico City,https://pan.org.mx,,"Centre-right political party in Mexico, advocating for conservatism, free markets, and traditional values.",,,true,,
Institutional Revolutionary Party,,MX,Mexico,Centrist,Centre,1929,Alejandro Moreno,Mexico City,https://pri.org.mx,,"Centre political party in Mexico, advocating for centrist policies, national unity, and social stability.",,,true,,
Party of the Democratic Revolution,,MX,Mexico,Social Democratic,Centre-left,1989,Jesús Zambrano,Mexico City,https://prd.org.mx,,"Centre-left political party in Mexico, advocating for social democracy, workers' rights, and social justice.",,,true,,
Justicialist Party,,AR,Argentina,Social Democratic,Centre-left,1947,Alberto Fernández,Buenos Aires,https://pj.org.ar,,"Centre-left political party in Argentina, advocating for Peronism, social justice, and workers' rights.",,,true,,
Radical Civic Union,,AR,Argentina,Liberal,Centre,1891,Gerardo Morales,Buenos Aires,https://ucr.org.ar,,"Centre political party in Argentina, advocating for liberalism, democracy, and social progress.",,,true,,
Socialist Party,,CL,Chile,Social Democratic,Centre-left,1933,Álvaro Elizalde,Santiago,https://pschile.cl,,"Centre-left political party in Chile, advocating for social democracy, workers' rights, and social justice.",,,true,,
National Renewal,,CL,Chile,Conservative,Centre-right,1987,Francisco Chahuán,Santiago,https://rn.cl,,"Centre-right political party in Chile, advocating for conservatism, free markets, and traditional values.",,,true,,
Democratic Center,,CO,Colombia,Conservative,Right,2013,Álvaro Uribe,Bogotá,https://centrodemocratico.com,,"Right-wing political party in Colombia, advocating for conservatism, security, and free markets.",,,true,,
Liberal Party,,CO,Colombia,Liberal,Centre,1848,César Gaviria,Bogotá,https://partidoliberal.org.co,,"Centre political party in Colombia, advocating for liberalism, democracy, and social progress.",,,true,,
Popular Force,,PE,Peru,Conservative,Right,2010,Keiko Fujimori,Lima,https://fuerzapopular.com.pe,,"Right-wing political party in Peru, advocating for conservatism, security, and economic growth.",,,true,,
Peruvian Aprista Party,,PE,Peru,Social Democratic,Centre-left,1924,Javier Velásquez,Lima,https://apra.org.pe,,"Centre-left political party in Peru, advocating for social democracy, workers' rights, and social justice.",,,true,,
United Socialist Party,,VE,Venezuela,Socialist,Left,2007,Nicolás Maduro,Caracas,https://psuv.org.ve,,"Left-wing political party in Venezuela, advocating for socialism, Bolivarian revolution, and social justice.",,true,true,,
Democratic Action,,VE,Venezuela,Social Democratic,Centre-left,1941,Bernabé Gutiérrez,Caracas,https://acciondemocratica.org.ve,,"Centre-left political party in Venezuela, advocating for social democracy, democracy, and social justice.",,,true,,
Citizen Revolution,,EC,Ecuador,Social Democratic,Centre-left,2006,Rafael Correa,Quito,https://revolucionciudadana.ec,,"Centre-left political party in Ecuador, advocating for social democracy, sovereignty, and social justice.",,,true,,
Social Christian Party,,EC,Ecuador,Conservative,Centre-right,1951,Pascual del Cioppo,Quito,https://psc.org.ec,,"Centre-right political party in Ecuador, advocating for conservatism, Christian values, and free markets.",,,true,,
Movement for Socialism,,BO,Bolivia,Socialist,Left,1997,Evo Morales,La Paz,https://mas-ipsp.org.bo,,"Left-wing political party in Bolivia, advocating for socialism, indigenous rights, and social justice.",,true,true,,
Civic Community,,BO,Bolivia,Liberal,Centre,2018,Carlos Mesa,La Paz,https://comunidadciudadana.org.bo,,"Centre political party in Bolivia, advocating for liberalism, democracy, and social progress.",,,true,,
Broad Front,,UY,Uruguay,Social Democratic,Centre-left,1971,Fernando Pereira,Montevideo,https://frenteamplio.org.uy,,"Centre-left political party in Uruguay, advocating for social democracy, workers' rights, and social justice.",,,true,,
National Party,,UY,Uruguay,Conservative,Centre-right,1836,Luis Lacalle Pou,Montevideo,https://partidonacional.uy,,"Centre-right political party in Uruguay, advocating for conservatism, traditional values, and free markets.",,true,true,,
Colorado Party,,PY,Paraguay,Conservative,Centre-right,1887,Mario Abdo Benítez,Asunción,https://anr.org.py,,"Centre-right political party in Paraguay, advocating for conservatism, traditional values, and national unity.",,true,true,,
Authentic Radical Liberal Party,,PY,Paraguay,Liberal,Centre,1977,Efraín Alegre,Asunción,https://plra.org.py,,"Centre political party in Paraguay, advocating for liberalism, democracy, and social progress.",,,true,,
